id
解表方-辛温解表
解表方-辛凉解表
解表方-扶正解表
解表方-表里双解
泻下方-寒下
泻下方-温下
泻下方-润下
泻下方-逐水
泻下方-攻补兼施
和解方-和解少阳
和解方-调和肝脾
和解方-调和肠胃
清热方-清气分热
清热方-清营凉血
清热方-清热解毒
清热方-清脏腑热
清热方-清虚热
祛暑方-祛暑方
温里方-温中祛寒
温里方-回阳救逆
温里方-温经散寒
补益方-补气
补益方-补血
补益方-气血双补
补益方-补阴
补益方-补阳
补益方-阴阳双补
固涩方-固表止汗
固涩方-敛肺止咳
固涩方-涩肠固脱
固涩方-涩精止遗
固涩方-固崩止带
安神方-重镇安神
安神方-滋养安神
开窍方-凉开
开窍方-温开
理气方-行气
理气方-降气
理血方-活血祛瘀
理血方-止血
治风方-疏散外风
治风方-平熄内风
治燥方-轻宣外燥
治燥方-滋阴润燥
祛湿方-燥湿和胃
祛湿方-清热祛湿
祛湿方-利水渗湿
祛湿方-温化寒湿
祛湿方-祛风胜湿
祛痰方-燥湿化痰
祛痰方-清热化痰
祛痰方-润燥化痰
祛痰方-温化寒痰
祛痰方-化痰熄风
消食方-消食化滞
消食方-健脾消食
驱虫方-驱虫
涌吐方-涌吐
痈疡方-内服
痈疡方-外用
